1887-01-01,397
1888-01-01,397
1889-01-01,413
1890-01-01,458
1891-01-01,485
1892-01-01,344
1893-01-01,390
1894-01-01,360
1895-01-01,420
1896-01-01,435
1897-01-01,439
1898-01-01,454
1899-01-01,462
1900-01-01,454
1901-01-01,469
1902-01-01,500
1903-01-01,492
1904-01-01,473
1905-01-01,458
1906-01-01,469
1907-01-01,481
1908-01-01,488
1909-01-01,466
1910-01-01,462
1911-01-01,473
1912-01-01,530
1913-01-01,662
1914-01-01,651
1915-01-01,587
1916-01-01,515
1917-01-01,526
1918-01-01,503
1919-01-01,503
1920-01-01,503
1921-01-01,515
1922-01-01,522
1923-01-01,492
1924-01-01,503
1925-01-01,503
1926-01-01,450
1927-01-01,432
1928-01-01,432
1929-01-01,458
1930-01-01,462
1931-01-01,503
1932-01-01,488
1933-01-01,466
1934-01-01,492
1935-01-01,503
1936-01-01,515
1937-01-01,500
1938-01-01,522
1939-01-01,575
1940-01-01,583
1941-01-01,587
1942-01-01,628
1943-01-01,640
